acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,acci_severity
451013615,508091,168346,-0.447418,51.403852,1/11/2021,jan,2,15:33:00,15,after,E07000213,1,3,3,70,0,0,0,0,1,1,1,0,0,2,2,1,E01030722,1,2,3
451013753,499012,150800,-0.582765,51.247784,1/11/2021,jan,2,18:50:00,18,eveni,E07000209,6,0,6,30,3,6,1,1,4,1,1,0,0,1,2,2,E01030450,1,2,3
451126520,500142,153103,-0.565936,51.268289,12/27/2021,dec,2,13:20:00,13,after,E07000209,6,0,6,30,0,0,0,0,1,2,2,0,0,1,1,2,E01030504,2,2,2
451013760,521442,162791,-0.257463,51.351227,1/9/2021,jan,7,17:30:00,17,after,E07000208,6,0,6,30,0,0,0,0,7,1,2,0,0,1,2,2,E01030415,1,3,3
451013795,498572,150798,-0.589068,51.247842,1/12/2021,jan,3,20:51:00,20,eveni,E07000209,3,25,1,30,1,3,0,5,4,1,1,0,0,1,1,2,E01030495,1,3,3
451014066,523971,160030,-0.222125,51.325868,1/13/2021,jan,4,15:30:00,15,after,E07000211,6,0,6,30,0,0,0,0,1,1,2,0,0,1,1,2,E01030603,1,1,2
451014316,527136,149102,-0.180608,51.226956,1/8/2021,jan,6,20:30:00,20,eveni,E07000211,6,0,6,30,3,6,0,1,7,9,2,0,0,2,2,2,E01030593,1,2,2
451014359,502164,168816,-0.532462,51.409174,1/14/2021,jan,5,20:00:00,20,eveni,E07000212,6,0,6,30,3,6,0,8,4,8,2,0,0,1,1,2,E01030685,2,2,3
451014413,511208,167606,-0.402857,51.396599,1/14/2021,jan,5,17:00:00,17,after,E07000207,3,3050,6,30,0,0,0,0,1,1,2,0,0,2,2,2,E01030361,1,2,3
451014458,504807,164985,-0.495605,51.374257,1/15/2021,jan,6,7:10:00,7,morni,E07000212,6,0,6,30,0,0,0,4,4,1,2,0,0,1,2,2,E01030650,1,2,3
